fold,epoch,train_loss,val_auc
1,1,0.24680700163606187,0.6926623703740261
1,2,0.2300723356058278,0.6965704016645873
1,3,0.22732778223902841,0.7025230343586285
1,4,0.22468815062993755,0.7039443938306023
1,5,0.22299360051308068,0.698013066495612
1,6,0.22157544337590038,0.708007998624805
1,7,0.21936937716163318,0.7047379765051484
1,8,0.21814669028554165,0.7125196309204773
1,9,0.21692670651662455,0.7069178291633867
1,10,0.2149106824715186,0.7069530535590414
1,11,0.21360247203255298,0.7103037027885265
2,1,0.2452905770851786,0.7040678805125727
2,2,0.22802017711542147,0.7032879600750335
2,3,0.2251918445854804,0.7064952424085547
2,4,0.22291481354209242,0.7043982467895027
2,5,0.22117534071502426,0.7092702169717748
2,6,0.2190850851790135,0.7112837684339844
2,7,0.2172894019382847,0.7096915623666613
2,8,0.2159666533838913,0.7114600241473861
2,9,0.21446884457307616,0.7103388220656895
2,10,0.21302851881437396,0.714029594838355
2,11,0.21112999714129782,0.711925319115225
2,12,0.21010653542458668,0.7073425773210354
2,13,0.20872682486123945,0.711598924754928
3,1,0.24410382912037082,0.6906760969397868
3,2,0.22615917443638364,0.6953409690712761
3,3,0.2229321478522564,0.6996195111122832
3,4,0.22042712401336348,0.7052571190524684
3,5,0.21832535736530972,0.7070819218723714
3,6,0.21635334325073036,0.7108758925455864
3,7,0.21497122482452533,0.6986599117020458
3,8,0.2130110942111018,0.7101873827398806
3,9,0.21144493735732048,0.7078041639932708
4,1,0.24504600338595076,0.7023686773962016
4,2,0.22860449751529086,0.7062494415557532
4,3,0.22522948835439588,0.706682126850678
4,4,0.22321098729633826,0.7121371518595186
4,5,0.22134149697185124,0.7135313631978535
4,6,0.21939111411975706,0.7144467394496935
4,7,0.21792764803924222,0.7151437105480409
4,8,0.21614273153264882,0.713376952825278
4,9,0.21454261220801168,0.7121432368057148
4,10,0.21327886144724376,0.7113497627586357
5,1,0.2467889440093864,0.6954783154724555
5,2,0.22819699226535106,0.6976947192452057
5,3,0.2249450791329845,0.7020005198353276
5,4,0.222059537566728,0.7056720086783739
5,5,0.22041073046628548,0.7028933072584349
5,6,0.21832690801108076,0.7047936536787478
5,7,0.21674272790745513,0.7108672768072077
5,8,0.2147020423628417,0.7077194036262107
5,9,0.21332843200608226,0.706274221643298
5,10,0.21173764773813086,0.7077351230867857
